epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.703778862953186,0.5671027302742004,1e-04,0.7033104300498962,0.559822678565979
1,0.7070580720901489,0.5605760216712952,1e-04,0.7089319229125977,0.548363983631134
2,0.7175202965736389,0.5548543930053711,1e-04,0.7114303708076477,0.5503836870193481
3,0.7153341770172119,0.5490409135818481,1e-04,0.7214241027832031,0.538605809211731
4,0.7289194464683533,0.5361984968185425,1e-04,0.7214241027832031,0.5433017611503601
5,0.7315739989280701,0.5363932251930237,1e-04,0.7414116263389587,0.5251309871673584
6,0.7425046563148499,0.5214486718177795,1e-04,0.7264209985733032,0.5428846478462219
7,0.7454715967178345,0.5160625576972961,1e-04,0.7501561641693115,0.516255259513855
8,0.749687671661377,0.5057045817375183,1e-04,0.7526546120643616,0.510059654712677
9,0.7512491941452026,0.5042986273765564,1e-04,0.7532792091369629,0.5105648636817932
10,0.7560899257659912,0.4987275004386902,1e-04,0.7495315670967102,0.513334333896637
11,0.7668644785881042,0.49029719829559326,1e-04,0.7532792091369629,0.5068144202232361
12,0.7631167769432068,0.48355984687805176,1e-04,0.7501561641693115,0.5164099335670471
13,0.7692067623138428,0.4802378714084625,1e-04,0.7270455956459045,0.5774515271186829
14,0.7762336134910583,0.4709954857826233,1e-04,0.7357901334762573,0.5524256229400635
15,0.7810743451118469,0.47071006894111633,1e-04,0.7726420760154724,0.48056599497795105
16,0.7810743451118469,0.45922431349754333,1e-04,0.7126795649528503,0.6263087391853333
17,0.7812305092811584,0.4601966440677643,1e-04,0.7713928818702698,0.4705679416656494
18,0.7891942262649536,0.4547266364097595,1e-04,0.7439100742340088,0.571571946144104
19,0.7915365099906921,0.44452473521232605,1e-04,0.7638975381851196,0.5371216535568237
20,0.7910680770874023,0.4453807473182678,1e-04,0.7688944339752197,0.4878346621990204
21,0.7924734354019165,0.44032034277915955,1e-04,0.7776389718055725,0.4695507287979126
22,0.7993441820144653,0.4363396167755127,1e-04,0.7645221948623657,0.4990754723548889
23,0.7899749875068665,0.44076284766197205,1e-04,0.7888819575309753,0.46191760897636414
24,0.8021548986434937,0.43241870403289795,1e-04,0.769519031047821,0.5093180537223816
25,0.8051217794418335,0.4286646842956543,1e-04,0.785758912563324,0.4655093848705292
26,0.8105871081352234,0.42146003246307373,1e-04,0.7895065546035767,0.46848347783088684
27,0.8149594068527222,0.4157741963863373,1e-04,0.7970018982887268,0.45252856612205505
28,0.8116801977157593,0.4193807542324066,1e-04,0.792629599571228,0.44853174686431885
29,0.8093379139900208,0.41276973485946655,1e-04,0.7613991498947144,0.5423140525817871
30,0.8169893622398376,0.40754878520965576,9.0483736e-05,0.7963772416114807,0.4400171935558319
31,0.8216739296913147,0.3940642476081848,8.187306e-05,0.7732667326927185,0.5170616507530212
32,0.8207370638847351,0.39370355010032654,7.408181e-05,0.7888819575309753,0.4994364380836487
33,0.8310431241989136,0.3810305595397949,6.7031986e-05,0.790131151676178,0.49265816807746887
34,0.8299500346183777,0.38318803906440735,6.0653045e-05,0.792629599571228,0.48565801978111267
35,0.8329169154167175,0.3763025104999542,5.488114e-05,0.7832604646682739,0.4687398076057434
36,0.8404122591018677,0.37466180324554443,4.9658505e-05,0.7957526445388794,0.45153000950813293
37,0.8354153633117676,0.37222710251808167,4.4932873e-05,0.8026233315467834,0.4461250901222229
38,0.8369768857955933,0.3682825565338135,4.065694e-05,0.8007495403289795,0.4802885055541992
39,0.840724527835846,0.36372804641723633,3.678792e-05,0.808869481086731,0.42960748076438904
40,0.8440037369728088,0.35462331771850586,3.3287084e-05,0.8126171231269836,0.4231162369251251
41,0.8458775877952576,0.35621559619903564,3.0119398e-05,0.8019987344741821,0.5003692507743835
42,0.8441599011421204,0.3555202782154083,2.7253156e-05,0.8038725852966309,0.4555782377719879
43,0.8471267819404602,0.3523640036582947,2.4659674e-05,0.813241720199585,0.44423651695251465
44,0.8427545428276062,0.3526279330253601,2.2312994e-05,0.8063710331916809,0.47374314069747925
45,0.8494690656661987,0.34684139490127563,2.0189631e-05,0.8107432723045349,0.44139426946640015
46,0.8571205735206604,0.3442001938819885,1.8268332e-05,0.8057464361190796,0.445420503616333
47,0.8491567969322205,0.34555086493492126,1.652987e-05,0.8032479882240295,0.48149463534355164
48,0.8527482748031616,0.3417690694332123,1.4956844e-05,0.8082448244094849,0.43083858489990234
49,0.8458775877952576,0.34709179401397705,1.3533511e-05,0.8057464361190796,0.4483323395252228
50,0.8474391102790833,0.34773752093315125,1.2245627e-05,0.8069956302642822,0.4497000575065613
